순번,영화명,개봉일,전국관객수
128,우리 생애 최고의 순간,2008-01-10,4044582 
129,혹성탈출: 반격의 서막,2014-07-10,4002134 
130,타짜-신의 손,2014-09-03,4001813 
131,쿵푸팬더3,2016-01-28,3984812 
132,캡틴 아메리카: 윈터 솔져,2014-03-26,3963220 
133,공공의 적 2,2005-01-27,3911356 
134,박수건달,2013-01-09,3893216 
135,한반도,2006-07-13,3880308 
136,조선명탐정 : 사라진 놉의 딸,2015-02-11,3872015 
137,트로이,2004-05-21,3851000 
138,역린,2014-04-30,3849433 
139,매드 맥스: 분노의 도로,2015-05-14,3842441 
140,남한산성,2017-10-03,3815676 
141,쌍화점,2008-12-30,3779553 
142,신기전,2008-09-04,3726134 
143,미이라,2017-06-06,3689234 
144,분노의 질주: 더 익스트림,2017-04-12,3653238 
145,친절한 금자씨,2005-07-29,3650000 
146,너의 이름은.,2017-01-04,3637113 
147,해리포터와 불의 잔,2005-12-01,3615000 
148,인턴,2015-09-24,3610642 
149,귀향,2016-02-24,3586523 
150,리얼 스틸,2011-10-12,3579666 
151,신의 한 수,2014-07-03,3562123 
152,미스터 & 미세스 스미스,2005-06-16,3546900 
153,라라랜드,2016-12-07,3510691 
154,해리 포터와 불사조 기사단,2007-07-11,3475000 
155,가문의 부활 - 가문의 영광3,2006-09-21,3464516 
156,부러진 화살,2012-01-18,3450941 
157,끝까지 간다,2014-05-29,3450143 
158,아일랜드,2005-07-21,3433900 
159,비긴 어게인,2014-08-13,3427464 
160,스파이,2013-09-05,3423920 
161,이끼,2010-07-14,3408144 
162,포화속으로,2010-06-16,3385706 
163,다이 하드 4 : 죽어도 산다,2007-07-17,3380800 
164,맨 인 블랙 3,2012-05-24,3379762 
165,어바웃 타임,2013-12-05,3375735 
166,다빈치 코드,2006-05-18,3339082 
167,슈퍼배드 3,2017-07-26,3324896 
168,데드풀,2016-02-17,3317196 
169,슈렉2,2004-06-18,3300533 
170,스타워즈: 깨어난 포스,2015-12-17,3273879 
171,아이 캔 스피크,2017-09-21,3262463 
172,분노의 질주: 더 세븐,2015-04-01,3247558 
173,터미네이터 제니시스,2015-07-02,3239371 
174,그래비티,2013-10-17,3227452 
175,우주전쟁,2005-07-07,3223000 
176,어린 신부,2004-04-02,3149500 
177,그놈 목소리,2007-02-01,3143247 
178,우리들의 행복한 시간,2006-09-14,3132320 
179,캐리비안의 해적: 낯선 조류,2011-05-19,3130046 
180,퀵,2011-07-20,3125069 
181,감기,2013-08-14,3119023 
182,말죽거리 잔혹사,2004-01-16,3115767 
183,나우 유 씨 미 2,2016-07-13,3100113 
184,마파도,2005-03-10,3090467 
185,하모니,2010-01-28,3068544 
186,거북이 달린다,2009-06-11,3059812 
187,너는 내 운명,2005-09-23,3051134 
188,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,3049728 
189,스물,2015-03-25,3044134 
190,토르: 다크 월드,2013-10-30,3039889 
191,식객,2007-11-01,3038868 
192,방자전,2010-06-02,3035116 
193,하울의 움직이는 성,2004-12-23,3015165 
194,마더,2009-05-28,3013523 
195,투모로우,2004-06-03,3006400 
196,레드: 더 레전드,2013-07-18,3004647 
197,해리 포터와 혼혈 왕자,2009-07-15,3002669 
198,오싹한 연애,2011-12-01,3001530 
199,드래곤 길들이기 2,2014-07-23,3000056 
200,형,2016-11-23,2982022 
201,황금 나침반,2007-12-18,2979838 
202,친구 2,2013-11-14,2971475 
203,26년,2012-11-29,2963449 
204,워낭소리,2009-01-15,2962897 
205,고지전,2011-07-20,2945137 
206,엑스맨: 아포칼립스,2016-05-25,2938818 
207,프리즌,2017-03-23,2931897 
208,300,2007-03-14,2929400 
209,솔트,2010-07-29,2921331 
210,헬로우 고스트,2010-12-22,2897477 
211,귀신이 산다,2004-09-17,2890000 
212,원티드,2008-06-26,2867594 
213,극비수사,2015-06-18,2860786 
214,슈렉3,2007-06-06,2844159 
215,표적,2014-04-30,2841788 
216,앤트맨,2015-09-03,2839921 
217,호빗: 다섯 군대 전투,2014-12-17,2836774 
218,호빗: 뜻밖의 여정,2012-12-13,2818993 
219,메이즈 러너,2014-09-18,2812427 
220,해리 포터와 죽음의 성물1,2010-12-15,2809053 
221,빅 히어로,2015-01-21,2801949 
222,덩케르크,2017-07-20,2787346 
223,혹성탈출: 진화의 시작,2011-08-17,2773794 
224,부당거래,2010-10-28,2766436 
225,1번가의 기적,2007-02-14,2750457 
226,메이즈 러너: 스코치 트라이얼,2015-09-16,2744413 
227,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,2735722 
228,시라노; 연애조작단,2010-09-16,2731828 
229,핸콕,2008-07-02,2723518 
230,내가 살인범이다,2012-11-08,2721903 
231,나우 유 씨 미 : 마술사기단,2013-08-22,2718227 
232,미스 페레그린과 이상한 아이들의 집,2016-09-28,2718158 
233,적벽대전 2 : 최후의 결전,2009-01-22,2713031 
234,지.아이.조 : 전쟁의 서막,2009-08-06,2706748 
235,타이탄,2010-04-01,2685508 
236,소원,2013-10-02,2663170 
237,살인자의 기억법,2017-09-06,2656642 
238,브레이킹 던 part2,2012-11-15,2654817 
239,탐정 : 더 비기닝,2015-09-24,2625686 
240,미니언즈,2015-07-29,2625572 
241,후궁 : 제왕의 첩,2012-06-06,2621436 
242,트랜스포머: 최후의 기사,2017-06-21,2614310 
243,제이슨 본,2016-07-27,2611966 
244,드래곤 길들이기,2010-05-20,2603857 
245,도리를 찾아서,2016-07-06,2601734 
246,위험한 상견례,2011-03-31,2595625 
247,아수라,2016-09-28,2594028 
248,굿모닝 프레지던트,2009-10-22,2583294 
249,음란서생,2006-02-23,2576022 
250,보안관,2017-05-03,2571467 
251,내 머리 속의 지우개,2004-11-05,2565078 
252,기술자들,2014-12-24,2564340 
253,퍼시픽 림,2013-07-11,2539114 
254,내 생애 가장 아름다운 일주일,2005-10-07,2533103 
255,엑스맨: 퍼스트 클래스,2011-06-02,2532306 
256,정글북,2016-06-09,2532051 
257,해리포터와 아즈카반의 죄수,2004-07-16,2532000 
258,패션 오브 크라이스트,2004-04-02,2523700 
259,마이펫의 이중생활,2016-08-03,2517805 
260,조작된 도시,2017-02-09,2512572 
261,토르: 라그나로크,2017-10-25,2507939 
262,"나니아 연대기-사자,마녀 그리고 옷장",2005-12-29,2505133 
263,우리 형,2004-10-08,2479585 
264,박수칠 때 떠나라,2005-08-11,2475291 
265,반창꼬,2012-12-19,2471721 
266,보스 베이비,2017-05-03,2450018 
267,화차,2012-03-08,2435211 
268,이웃사람,2012-08-22,2434099 
269,광식이 동생 광태,2005-11-23,2430200 
270,재심,2017-02-15,2420729 
271,의뢰인,2011-09-29,2393086 
272,화이: 괴물을 삼킨 아이,2013-10-09,2391963 
273,테이큰,2008-04-09,2379830 
274,007 스카이폴,2012-10-26,2376145 
275,스파이더맨 2,2004-06-30,2367704 
276,가문의 영광4 - 가문의 수난,2011-09-07,2363955 
277,블라인드,2011-08-10,2362906 
278,박열,2017-06-28,2359128 
279,맨발의 기봉이,2006-04-26,2347311 
280,바람의 파이터,2004-08-12,2346446 
281,작업의 정석,2005-12-21,2342232 
282,미인도,2008-11-13,2325715 
283,라스트 갓파더,2010-12-29,2316099 
284,스파이,2015-05-21,2315882 
285,모아나,2017-01-12,2310054 
286,테이큰 2,2012-09-27,2308596 
287,하녀,2010-05-13,2304487 
288,"달콤, 살벌한 연인",2006-04-06,2286745 
289,호빗: 스마우그의 폐허,2013-12-12,2282744 
290,나잇&데이,2010-06-24,2282191 
291,혈의 누,2005-05-04,2274995 
292,컨저링,2013-09-17,2262758 
293,슈렉 포에버,2010-07-01,2261356 
294,극락도 살인사건,2007-04-12,2259511 
295,이글 아이,2008-10-09,2258369 
296,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,2256913 
297,배틀쉽,2012-04-11,2241687 
298,셜록홈즈 : 그림자 게임,2011-12-21,2239156 
299,박쥐,2009-04-30,2237271 
300,7광구,2011-08-04,2232179 
301,어거스트 러쉬,2007-11-29,2218573 
302,나는 전설이다,2007-12-12,2215883 
303,포세이돈,2006-05-31,2214600 
304,셜록 홈즈,2009-12-23,2207751 
305,007 퀀텀 오브 솔러스,2008-11-05,2201300 
306,내 여자친구를 소개합니다,2004-06-03,2199359 
307,마당을 나온 암탉,2011-07-28,2199048 
308,댄서의 순정,2005-04-28,2197555 
309,악의 연대기,2015-05-14,2192243 
310,강남 1970,2015-01-21,2192172 
311,바르게 살자,2007-10-18,2190250 
312,늑대의 유혹,2004-07-22,2189453 
313,이상한 나라의 앨리스,2010-03-04,2182365 
314,맨 오브 스틸,2013-06-13,2182227 
315,황해,2010-12-22,2167426 
316,원더 우먼,2017-05-31,2165359 
317,초능력자,2010-11-10,2164805 
318,내 사랑 내 곁에,2009-09-24,2160265 
319,마이 웨이,2011-12-21,2142622 
320,겟 아웃,2017-05-17,2138148 
321,나의 사랑 나의 신부,2014-10-08,2135614 
322,범죄의 재구성,2004-04-15,2129358 
323,사랑,2007-09-19,2123815 
324,세븐 데이즈,2007-11-14,2120741 
325,굿바이 싱글,2016-06-29,2108273 
326,이클립스,2010-07-07,2105050 
327,사생결단,2006-04-27,2104716 
328,엑스맨 : 최후의 전쟁,2006-06-15,2096180 
329,몽타주,2013-05-16,2095375 
330,색즉시공 시즌2,2007-12-12,2088134 
331,논스톱,2014-02-27,2084457 
332,내부자들: 디 오리지널,2015-12-31,2083999 
333,쩨쩨한 로맨스,2010-12-01,2080574 
334,장화신은 고양이,2012-01-12,2080154 
335,인투 더 스톰,2014-08-28,2078492 
336,로건,2017-03-01,2070084 
337,청춘만화,2006-03-23,2066354 
338,눈에는 눈 이에는 이,2008-07-31,2058764 
339,뷰티 인사이드,2015-08-20,2053947 
340,본 얼티메이텀,2007-09-12,2052800 
341,혹성탈출: 종의 전쟁,2017-08-15,2050956 
342,아라한 장풍대작전,2004-04-30,2050000 
343,비열한 거리,2006-06-15,2047808 
344,봉이 김선달,2016-07-06,2044564 
345,노아,2014-03-20,2026574 
346,반지의 제왕 : 왕의 귀환,2003-12-17,2024323 
347,레버넌트: 죽음에서 돌아온 자,2016-01-14,2007180 
348,오페라의 유령,2004-12-08,2006880 
349,페르시아의 왕자: 시간의 모래,2010-05-27,2003533 
350,박물관이 살아있다 2,2009-06-04,2002526 
351,시실리 2km,2004-08-13,1987380 
352,남자가 사랑할 때,2014-01-22,1979311 
353,효자동 이발사,2004-05-05,1972377 
354,루시,2014-09-03,1971837 
355,뉴 문,2009-12-02,1949027 
356,천사와 악마,2009-05-14,1936321 
357,애나벨 : 인형의 주인,2017-08-10,1934238 
358,가족,2004-09-03,1932304 
359,컨저링 2,2016-06-09,1926201 
360,터보,2013-07-25,1923748 
361,애자,2009-09-09,1922634 
362,잠복근무,2005-03-17,1914941 
363,그림자 살인,2009-04-02,1914779 
364,수어사이드 스쿼드,2016-08-03,1898121 
365,오늘의 연애,2015-01-14,1891993 
366,글러브,2011-01-20,1888100 
367,라디오 스타,2006-09-28,1879501 
368,퍼시 잭슨과 번개 도둑,2010-02-11,1877226 
369,해결사,2010-09-09,1873327 
370,"색, 계",2007-11-08,1866900 
371,연애의 온도,2013-03-21,1865195 
372,아이들...,2011-02-17,1864408 
373,테이큰 3,2015-01-01,1860934 
374,구세주,2006-02-16,1858668 
375,코리아,2012-05-03,1857392 
376,지.아이.조 2,2013-03-28,1855917 
377,노무현입니다,2017-05-25,1854787 
378,집으로 가는 길,2013-12-11,1854625 
379,악마를 보았다,2010-08-12,1848418 
380,바람피기 좋은 날,2007-02-08,1847875 
381,콘스탄틴,2005-02-08,1845000 
382,흡혈형사 나도열,2006-02-09,1824822 
383,나의 PS 파트너 ,2012-12-06,1823116 
384,007 스펙터,2015-11-11,1820842 
385,차우,2009-07-15,1799356 
386,작전명 발키리,2009-01-22,1798205 
387,목포는 항구다,2004-02-20,1795700 
388,분노의 질주: 더 맥시멈,2013-05-22,1790457 
389,아내가 결혼했다,2008-10-23,1788748 
390,"아이, 로봇",2004-07-30,1777470 
391,벤자민 버튼의 시간은 거꾸로 간다,2009-02-12,1767051 
392,공범,2013-10-24,1766285 
393,수퍼맨 리턴즈,2006-06-28,1764758 
394,나를 찾아줘,2014-10-23,1764233 
395,대호,2015-12-16,1762742 
396,걸리버 여행기,2011-01-27,1762070 
397,내셔널 트레져:비밀의 책,2007-12-19,1756319 
398,거룩한 계보,2006-10-19,1744677 
399,이미테이션 게임,2015-02-17,1743774 
400,전설의 주먹,2013-04-10,1737253 
401,연애의 목적,2005-06-10,1735977 
402,제보자,2014-10-02,1735640 
403,악마는 프라다를 입는다,2006-10-25,1730719 
404,씽,2016-12-21,1729424 
405,주먹이 운다(Crying Fist),2005-04-01,1728477 
406,러브픽션,2012-02-29,1726202 
407,스타워즈 에피소드3 - 시스의복수,2005-05-26,1722800 
408,킬러의 보디가드,2017-08-30,1721749 
409,언터처블: 1%의 우정,2012-03-22,1719772 
410,평양성,2011-01-27,1717566 
411,샌 안드레아스,2015-06-03,1714071 
412,파파로티,2013-03-14,1713891 
413,밀양,2007-05-23,1710364 
414,쎄시봉,2015-02-05,1707487 
415,님은 먼 곳에,2008-07-24,1706576 
416,토르: 천둥의 신,2011-04-28,1694529 
417,조폭마누라3,2006-12-28,1690465 
418,불꽃처럼 나비처럼,2009-09-24,1690294 
419,알포인트,2004-08-20,1689000 
420,콩: 스컬 아일랜드,2017-03-08,1685933 
421,점퍼,2008-02-14,1685405 
422,피끓는 청춘,2014-01-22,1676040 
423,23 아이덴티티,2017-02-22,1675798 
424,알렉산더,2004-12-31,1671576 
425,마다가스카의 펭귄,2014-12-31,1661230 
426,아이스 에이지 4: 대륙 이동설,2012-07-25,1648070 
427,공모자들,2012-08-29,1646142 
428,그대를 사랑합니다,2011-02-17,1640351 
429,임금님의 사건수첩,2017-04-26,1634403 
430,고死 : 피의 중간고사,2008-08-07,1634051 
431,반 헬싱,2004-07-30,1631359 
432,마다가스카3 : 이번엔 서커스다!,2012-06-06,1626704 
433,블랙 스완,2011-02-24,1623199 
434,분노의 질주: 언리미티드,2011-04-20,1621973 
435,마다가스카,2005-07-14,1620031 
436,권순분여사 납치사건,2007-09-12,1619190 
437,무방비도시,2008-01-10,1613728 
438,우아한 거짓말,2014-03-13,1613392 
439,하울링,2012-02-16,1612554 
440,두근두근 내 인생,2014-09-03,1611519 
441,복면달호,2007-02-14,1611192 
442,스타트렉 다크니스,2013-05-30,1605271 
443,로빈 후드,2010-05-13,1596574 
444,더 폰,2015-10-22,1593694 
445,300: 제국의 부활,2014-03-06,1593116 
446,간 큰 가족,2005-06-09,1593038 
447,라이프 오브 파이,2013-01-01,1588373 
448,지구가 멈추는 날,2008-12-24,1576333 
449,적벽대전:거대한 전쟁의 시작,2008-07-10,1573621 
450,무적자,2010-09-16,1571432 
451,원스어폰어타임,2008-01-31,1562486 
452,위플래쉬,2015-03-12,1561815 
453,야수와 미녀,2005-10-27,1561282 
454,마파도2,2007-01-18,1560297 
455,용의자X,2012-10-18,1552055 
456,해바라기,2006-11-23,1543429 
457,유감스러운 도시,2009-01-22,1534911 
458,작전,2009-02-12,1534407 
459,S 다이어리,2004-10-22,1531840 
460,중천,2006-12-21,1531220 
461,벼랑 위의 포뇨,2008-12-17,1521842 
462,오블리비언,2013-04-11,1515356 
463,몬스터 호텔 2,2015-12-24,1515104 
464,내사랑 싸가지,2004-01-16,1513000 
465,엑소더스: 신들과 왕들,2014-12-03,1511145 
466,퍼펙트 게임,2011-12-21,1507084 
467,인디펜던스 데이 : 리써전스,2016-06-22,1500830 
468,더 게임,2008-01-30,1496214 
469,B형 남자친구,2005-02-03,1485454 
470,토이 스토리 3,2010-08-05,1484843 
471,킹덤 오브 헤븐,2005-05-04,1484000 
472,나니아 연대기:캐스피언 왕자 ,2008-05-15,1478573 
473,차이나타운,2015-04-29,1472006 
474,해무(海霧),2014-08-13,1466830 
475,브레이킹 던 part1,2011-11-30,1462280 
476,브리짓 존스의 일기2 : 열정과 애정,2004-12-08,1462000 
477,홀리데이,2006-01-19,1458896 
478,새미의 어드벤쳐 2,2012-08-01,1452872 
479,각설탕,2006-08-10,1446820 
480,위대한 개츠비,2013-05-16,1445124 
481,인간중독,2014-05-14,1441964 
482,궁녀,2007-10-18,1438531 
483,잃어버린 세계를 찾아서,2008-12-17,1438353 
484,다이하드: 굿 데이 투 다이,2013-02-06,1438056 
485,주홍글씨,2004-10-29,1437549 
486,탐정 홍길동: 사라진 마을,2016-05-04,1426873 
487,런닝맨,2013-04-04,1416053 
488,연인,2004-09-10,1416000 
489,검은 집,2007-06-21,1408882 
490,구르믈 버서난 달처럼,2010-04-28,1407681 
491,허브,2007-01-11,1406199 
492,예스맨,2008-12-17,1402609 
493,벤허,2016-09-14,1399771 
494,말레피센트,2014-05-29,1397526 
495,라스트 에어벤더,2010-08-19,1394110 
496,오션스 써틴,2007-06-14,1386610 
497,역도산,2004-12-15,1386179 
498,내셔널 트레져,2004-12-31,1384507 
499,폼페이: 최후의 날,2014-02-20,1373873 
500,브이아이피,2017-08-23,1373349 
501,찰리와 초콜릿 공장,2005-09-16,1372700 
502,분홍신,2005-06-30,1371122 
503,특별시민,2017-04-26,1362634 
504,퓨리,2014-11-20,1362114 
505,트와일라잇,2008-12-10,1356180 
506,차형사,2012-05-30,1346754 
507,은교,2012-04-25,1346274 
508,닌자 어쌔신,2009-11-26,1345025 
509,신들의 전쟁,2011-11-10,1338411 
510,터미널,2004-08-27,1335571 
511,미스터 고,2013-07-17,1328890 
512,굿 다이노,2016-01-07,1328394 
513,드라큘라: 전설의 시작,2014-10-08,1321751 
514,청담보살,2009-11-11,1321005 
515,월ㆍE,2008-08-06,1320830 
516,싸움의 기술,2006-01-05,1313727 
517,가디언즈 오브 갤럭시,2014-07-31,1311190 
518,간첩,2012-09-20,1310895 
519,월드 인베이젼,2011-03-10,1307873 
520,영화는 영화다,2008-09-11,1307688 
521,에이리언: 커버넌트,2017-05-09,1307226 
522,만남의 광장,2007-08-15,1306434 
523,못말리는 결혼,2007-05-10,1304431 
524,엑스맨 탄생: 울버린,2009-04-30,1303452 
525,장산범,2017-08-17,1303310 
526,로맨틱 홀리데이,2006-12-14,1300645 
527,최강로맨스,2007-01-25,1299274 
528,셜록: 유령신부,2016-01-02,1278894 
529,킹콩을 들다,2009-07-01,1277800 
530,소스 코드,2011-05-04,1277301 
531,"달마야, 서울 가자",2004-07-09,1272000 
532,달콤한 인생,2005-04-01,1271595 
533,황진이,2007-06-06,1270644 
534,이장과 군수,2007-03-29,1269142 
535,즐거운 인생,2007-09-13,1263835 
536,라스트 사무라이,2004-01-09,1263200 
537,미스터 소크라테스,2005-11-10,1261965 
538,마다가스카 2,2009-01-08,1247015 
539,간기남,2012-04-11,1246185 
540,신부수업,2004-08-05,1242476 
541,꿀벌대소동,2008-01-03,1240953 
542,행복,2007-10-03,1239789 
543,나비효과,2004-11-12,1239079 
544,육혈포 강도단,2010-03-18,1233582 
545,천군,2005-07-15,1232992 
546,메리다와 마법의 숲,2012-09-27,1231024 
547,심야의 F.M.,2010-10-14,1228673 
548,특별수사: 사형수의 편지,2016-06-16,1225142 
549,찌라시: 위험한 소문,2014-02-20,1221420 
550,포비든 킹덤: 전설의 마스터를 찾아서,2008-04-24,1221352 
551,토탈 리콜,2012-08-15,1219637 
552,킹 아더,2004-07-23,1213584 
553,결혼전야,2013-11-21,1212270 
554,레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,1209538 
555,엘리시움,2013-08-29,1207732 
556,악녀,2017-06-08,1206870 
557,인사동 스캔들,2009-04-29,1206101 
558,깡철이,2013-10-02,1204666 
559,그녀를 믿지 마세요,2004-02-20,1204000 
560,형사; Duelist,2005-09-08,1203146 
561,시간이탈자,2016-04-13,1202058 
562,몬스터 하우스,2006-08-10,1201649 
563,R2B: 리턴투베이스,2012-08-15,1201640 
564,해빙,2017-03-01,1201576 
565,더 웹툰: 예고살인,2013-06-27,1201033 
566,짝패,2006-05-25,1196520 
567,파송송 계란탁,2005-02-18,1193150 
568,몽정기2,2005-01-14,1188815 
569,나니아 연대기: 새벽 출정호의 항해,2010-12-08,1182228 
570,빅매치,2014-11-27,1177438 
571,여선생 VS 여제자,2004-11-17,1175580 
572,서양 골동 양과자점 앤티크,2008-11-13,1173310 
573,웜 바디스,2013-03-14,1169839 
574,"당신, 거기 있어줄래요",2016-12-14,1168625 
575,동주,2016-02-17,1168427 
576,돈의 맛,2012-05-17,1165488 
577,연애술사,2005-05-20,1163274 
578,워크래프트: 전쟁의 서막,2016-06-09,1163120 
579,장수상회,2015-04-09,1160935 
580,가문의 영광5 - 가문의 귀환,2012-12-19,1160021 
581,슬로우 비디오,2014-10-02,1159787 
582,스타트렉 비욘드,2016-08-17,1157472 
583,인크레더블,2004-12-15,1155067 
584,미씽: 사라진 여자,2016-11-30,1153109 
585,잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,1149628 
586,용서는 없다,2010-01-07,1144238 
587,"안녕, 형아",2005-05-27,1143136 
588,"10,000 BC",2008-03-13,1140118 
589,고령화 가족,2013-05-09,1139250 
590,김종욱 찾기,2010-12-08,1130638 
591,하루,2017-06-15,1128978 
592,헝거게임: 캣칭 파이어,2013-11-21,1125739 
593,슬럼독 밀리어네어,2009-03-19,1125032 
594,성난 변호사,2015-10-08,1124918 
595,6년째 연애중,2008-02-05,1123294 
596,아랑,2006-06-28,1122399 
597,특수본,2011-11-24,1118258 
598,스타 트렉: 더 비기닝,2009-05-07,1111865 
599,라이트 아웃,2016-08-24,1111158 
600,회사원,2012-10-11,1110523 
601,간신,2015-05-21,1110246 
602,령,2004-06-17,1108769 
603,그 여자 작사 그 남자 작곡,2007-02-28,1103900 
604,박물관이 살아있다 : 비밀의 무덤,2015-01-14,1101678 
605,베스트셀러,2010-04-15,1099665 
606,지금 사랑하는 사람과 살고 있습니까?,2007-08-15,1095119 
607,007 카지노 로얄,2006-12-21,1088307 
608,그때 그 사람들,2005-02-03,1083962 
609,마루 밑 아리에티,2010-09-09,1083746 
